fr_publication_date,category,title,fr_url
2009-02-25,admin/nomination,Health Information Technology (HIT) Policy Committee Nomination Letters,https://www.federalregister.gov/documents/2009/02/25/E9-3906/health-information-technology-hit-policy-committee-nomination-letters
2009-03-12,admin/nomination,Office of the National Coordinator for Health Information Technology; HIT Standards Committee and HIT Policy Committee Nomination Letters,https://www.federalregister.gov/documents/2009/03/12/E9-5391/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee-and-hit
2009-04-29,other/ONC,Office of the National Coordinator for Health Information Technology,https://www.federalregister.gov/documents/2009/04/29/E9-9838/office-of-the-national-coordinator-for-health-information-technology
2009-04-29,other/ONC,Office of the National Coordinator for Health Information Technology,https://www.federalregister.gov/documents/2009/04/29/E9-9839/office-of-the-national-coordinator-for-health-information-technology
2009-05-06,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Meeting,https://www.federalregister.gov/documents/2009/05/06/E9-10642/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee-meeting
2009-05-06,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Meeting,https://www.federalregister.gov/documents/2009/05/06/E9-10643/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-meeting
2009-05-26,admin/schedule,HIT Standards Committee Schedule for the Assessment of HIT Policy Committee Recommendations,https://www.federalregister.gov/documents/2009/05/26/E9-12175/hit-standards-committee-schedule-for-the-assessment-of-hit-policy-committee-recommendations
2009-06-04,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Meeting,https://www.federalregister.gov/documents/2009/06/04/E9-13077/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-meeting
2009-06-18,HITPC meeting,Health Information Technology Policy Committee; Notice of Meeting,https://www.federalregister.gov/documents/2009/06/18/E9-14379/health-information-technology-policy-committee-notice-of-meeting
2009-07-01,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/07/01/E9-15544/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2009-07-01,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/07/01/E9-15545/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2009-07-01,workgroup,Office of the National Coordinator for Health Information Technology; HIT Policy Committee's Certification/Adoption Workgroup Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/07/01/E9-15547/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committees
2009-07-31,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/07/31/E9-18330/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2009-07-31,HITPC meeting,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/07/31/E9-18331/hit-policy-committee-advisory-meeting-notice-of-meeting
2009-09-02,HITPC meeting,Office of the National Coordinator for Health Information Technology; HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/09/02/E9-21149/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
2009-09-02,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/09/02/E9-21204/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee
2009-09-15,HITSC (standards),Office of the National Coordinator for Health Information Technology; HIT Standards Committee; Notice and Publication of Committee Recommendations to the National Coordinator for Health Information Technology,https://www.federalregister.gov/documents/2009/09/15/E9-22062/office-of-the-national-coordinator-for-health-information-technology-hit-standards-committee-notice
