meeting_date,fr_notice_date,title,fr_url
May 11 2009,2009-05-06,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2009/05/06/E9-10643/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-meeting
June 16 2009,2009-06-04,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2009/06/04/E9-13077/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-meeting
,2009-06-18,Health Information Technology Policy Committee; Notice of Meeting,https://www.federalregister.gov/documents/2009/06/18/E9-14379/health-information-technology-policy-committee-notice-of-meeting
,2009-07-01,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2009/07/01/E9-15545/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
August 14 2009,2009-07-31,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2009/07/31/E9-18331/hit-policy-committee-advisory-meeting-notice-of-meeting
,2009-09-02,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2009/09/02/E9-21149/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
,2009-09-30,HIT Policy Committee Advisory Meeting; Notice of Two-Day Meeting,https://www.federalregister.gov/documents/2009/09/30/E9-23460/hit-policy-committee-advisory-meeting-notice-of-two-day-meeting
December 15 2009,2009-11-30,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2009/11/30/E9-28621/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
,2010-01-04,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2010/01/04/E9-31186/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
February 17 2010,2010-02-03,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2010/02/03/2010-2213/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
March 17 2010,2010-02-26,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2010/02/26/2010-4041/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
April 20 2010,2010-04-07,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2010/04/07/2010-7902/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
April 21 2010,2010-03-31,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2010/03/31/2010-6601/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
May 19 2010,2010-04-26,HIT Policy Committee Advisory Meeting; Notice of Meeting,https://www.federalregister.gov/documents/2010/04/26/2010-9578/hit-policy-committee-advisory-meeting-notice-of-meeting
,2010-05-27,Office of the National Coordinator for Health Information Technol,https://www.federalregister.gov/documents/2010/05/27/2010-12711/office-of-the-national-coordinator-for-health-information-technology-hit-policy-committee-advisory
